Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
10/14/2025|Adobe||||345 Park Avenue|San Jose|CA|95110||2|9.99|Software|GN||||N|
10/15/2025|Anedot||||1340 Poydras St #1770|New Orleans|LA|70112||2|162.8|Credit Card Processing|GN||||N|
10/03/2025|Yellowstone County News||||PO Box 130|Huntley|MT|59037||2|1350.0|Banner Ad in Yellowstone County News|GN||3||N|
09/25/2025|Downtown Billings||||102 N 29th St|Billings|MT|59101||2|85.0|Harvest Festival Booth|GN||||N|
09/25/2025|Downtown Billings||||102 N 29th St|Billings|MT|59101||2|30.0|Harvest Festival Deposit|GN||||N|
09/26/2025|Copy Right||||19 N 25th Stree Suite D|Billings|MT|59101||2|411.72|Door hangers|GN||3,000||N|
09/29/2025|Victory Company||||5200 SW 30th Street|Davenport|IA|59802||2|896.46|Yard signs and stakes|GN||110||N|
