Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
08/31/2025|areana Mail + Digital||||1260 E Stringham Avenue #400|Salt Lake City|UT|84106||2|1000.0|Facebook Clik-to-Website Ads|GN|Facebook|on going||N|
09/11/2025|Adobe||||345 Park Avenue|San Jose|CA|95110||2|9.99|Software|GN||||N|
09/07/2025|rebel river creative||||2921 2nd Avenue N|Billigns|MT|59101||2|1255.0|WEBSITE and Marketing DEVELOPMENT-CREATIVE FEES, Domain registration, Domain protection, ICANN fees|GN||||N|
09/15/2025|Anedot||||340 Poydras Street, Suite 1770|New Orleans|LA|70112||2|61.8|Credit card processing fee|GN||Monthly||N|
09/05/2025|Copy Right ||||19 B 25th St D|Billings|MT|59101||2|682.2|campaign flyers|GN||5000||N|
09/08/2025|Victorystore.com||||5200 SW 30th Street|Davenport|IA|52802||2|549.74|100 campaign signs and stakes|GN||100||N|
